vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
74,11,3692.0,590.0,0,0
75,11,3730.5,595.5,1,0
75,11,3746.0,601.0,0,0
75,11,3783.5,606.5,1,0
75,11,3799.5,612.0,0,0
75,11,3837.0,617.5,2,0
74,11,3851.0,623.0,0,0
74,11,3888.0,628.5,0,0
73,11,3902.0,634.0,1,0
73,11,3938.5,639.5,1,0
72,11,3952.5,645.0,0,0
72,11,3988.5,650.5,0,0
71,11,4002.0,656.0,2,0
69,11,4010.0,661.5,0,0
69,11,4044.5,667.0,1,0
69,11,4079.0,672.5,1,0
68,11,4093.5,678.0,0,0
69,11,4129.0,683.5,0,0
69,11,4146.0,689.0,0,0
69,11,4180.5,694.5,0,0
68,11,4200.0,700.0,1,0
67,11,4231.0,705.5,0,0
69,11,4267.5,711.0,0,0
69,11,4302.0,716.5,0,0
71,11,4339.5,722.0,1,0
72,11,4376.5,727.5,0,0
73,11,4414.0,733.0,1,0
73,11,4450.5,738.5,0,0
73,11,4487.0,744.0,0,0
73,11,4523.5,749.5,0,0
74,11,4561.5,755.0,1,0
74,11,4598.5,760.5,0,0
74,11,4635.5,766.0,1,0
75,11,4674.0,771.5,0,0
75,11,4711.5,777.0,0,0
75,11,4749.0,782.5,1,0
73,11,4424.5,788.0,0,0
71,11,4022.0,793.5,0,0
69,11,3795.5,799.0,0,0
69,11,3731.5,804.5,0,0
66,11,3455.0,810.0,0,1
64,11,3315.5,815.5,0,0
63,11,3261.5,821.0,0,0
60,11,3096.5,826.5,0,0
60,11,3126.5,832.0,1,0
58,11,3013.5,837.5,0,0
58,11,3042.5,843.0,1,0
56,11,2984.5,848.5,0,0
56,11,3012.5,854.0,0,0
56,11,2981.0,859.5,2,0
56,11,3009.0,865.0,1,0
55,11,2986.0,870.5,0,0
56,11,3015.0,876.0,0,0
57,11,3001.5,881.5,0,0
57,11,3000.0,887.0,1,0
57,11,3028.5,892.5,0,0
56,11,3028.5,898.0,0,0
57,11,3058.0,903.5,1,0
57,11,3069.5,909.0,0,0
58,11,3099.5,914.5,0,0
57,11,3111.5,920.0,1,0
57,11,3140.0,925.5,0,0
57,11,3168.5,931.0,1,0
58,11,3198.5,936.5,0,0
60,11,3230.5,942.0,0,0
60,11,3260.5,947.5,0,0
61,11,3292.0,953.0,2,0
61,11,3322.5,958.5,1,0
61,11,3353.0,964.0,0,0
63,11,3386.5,969.5,1,0
63,11,3418.0,975.0,1,0
63,11,3449.5,980.5,0,0
64,11,3482.5,986.0,0,0
64,11,3514.5,991.5,3,1
65,11,3548.0,997.0,0,0
65,11,3580.5,1002.5,1,0
65,11,3613.0,1008.0,1,0
65,11,3645.5,1013.5,0,1
67,11,3681.0,1019.0,1,0
67,11,3714.5,1024.5,0,0
69,11,3751.0,1030.0,1,0
69,11,3785.5,1035.5,0,0
69,11,3820.0,1041.0,1,0
71,11,3857.5,1046.5,0,0
71,11,3893.0,1052.0,2,0
73,11,3931.5,1057.5,2,0
73,11,3968.0,1063.0,0,0
73,11,4004.5,1068.5,0,1
76,11,4045.5,1074.0,1,0
77,11,4085.0,1079.5,1,0
79,11,4126.5,1085.0,1,0
79,11,4166.0,1090.5,0,0
79,11,4205.5,1096.0,0,0
80,11,4246.5,1101.5,1,0
81,11,4288.0,1107.0,0,0
82,11,4330.0,1112.5,0,0
82,11,4371.0,1118.0,1,0
83,11,4413.5,1123.5,1,0
84,11,4456.5,1129.0,0,0
84,11,4498.5,1134.5,0,0
86,11,4543.5,1140.0,1,0
86,11,4586.5,1145.5,0,0
86,11,4629.5,1151.0,0,0
87,11,4674.0,1156.5,0,1
87,11,4717.5,1162.0,0,0
88,11,4762.5,1167.5,0,0
88,11,4806.5,1173.0,1,0
88,11,4850.5,1178.5,0,0
88,11,4894.5,1184.0,0,0
88,11,4938.5,1189.5,0,0
86,7,4544.0,914.5,0,0
84,7,4168.5,918.0,2,0
81,7,3826.5,921.5,0,0
82,7,3755.5,925.0,0,0
80,6,3545.0,838.5,0,0
77,5,3260.5,753.0,0,0
80,4,3303.5,663.0,0,0
78,4,3048.0,665.0,0,0
77,4,3004.0,573.5,0,0
75,5,2862.0,577.0,2,0
74,5,2818.5,579.5,1,0
75,5,2694.0,582.0,0,0
73,5,2594.0,584.5,0,0
71,6,2483.0,588.5,1,0
70,6,2388.0,591.5,0,0
70,5,2319.5,401.5,0,0
70,5,2304.0,400.0,0,0
71,4,2260.5,400.5,1,0
71,3,2250.5,396.5,2,0
70,1,2246.0,202.5,0,0
69,1,2203.0,203.0,1,0
68,1,2152.0,203.5,2,0
67,2,2162.5,205.5,0,0
67,2,2163.0,206.5,0,0
67,2,2184.5,207.5,1,0
63,0,2182.5,0.0,0,0
63,0,2207.0,0.0,1,0
62,1,2224.5,1.5,2,0
64,1,2258.5,2.0,1,0
64,1,2290.5,2.5,1,0
65,1,2324.0,3.0,0,0
66,2,2358.0,5.0,0,0
66,3,2391.0,7.5,1,0
67,3,2425.5,9.0,0,0
68,3,2460.5,10.5,0,0
68,3,2494.5,12.0,1,0
68,3,2528.5,13.5,0,0
70,2,2565.5,11.0,1,0
70,2,2600.5,12.0,2,0
71,2,2637.0,13.0,0,0
72,2,2674.0,14.0,3,0
73,2,2711.5,15.0,0,0
74,2,2749.5,16.0,2,0
74,2,2786.5,17.0,0,0
76,2,2826.5,18.0,0,0
79,2,2869.0,19.0,3,0
79,2,2908.5,20.0,0,0
79,2,2948.0,21.0,0,0
80,2,2987.0,22.0,0,0
81,2,3028.5,23.0,0,0
83,2,3072.0,24.0,0,0
84,2,3115.0,25.0,0,0
84,2,3157.0,26.0,1,0
85,2,3200.5,27.0,1,0
87,2,3246.0,28.0,0,0
87,2,3289.5,29.0,1,0
87,2,3333.0,30.0,0,0
90,2,3381.0,31.0,0,0
90,2,3426.0,32.0,0,0
93,2,3475.5,33.0,0,0
93,2,3522.0,34.0,0,0
94,2,3570.0,35.0,1,0
95,2,3618.5,36.0,0,0
95,2,3666.0,37.0,1,0
96,2,3715.0,38.0,0,0
99,2,3767.5,39.0,1,0
99,3,3817.0,41.5,0,0
100,3,3868.0,43.0,0,0
100,3,3918.0,44.5,0,0
100,3,3968.0,46.0,0,0
101,3,4019.5,47.5,0,1
102,3,4071.5,49.0,0,0
102,3,4119.5,50.5,0,0
102,3,4170.5,52.0,0,0
103,3,4223.0,53.5,0,0
103,3,4274.5,55.0,2,0
103,3,4326.0,56.5,0,0
105,3,4380.5,58.0,0,0
105,4,4433.0,61.0,0,0
