hp_LEARNING_RATE,hp_GAMMA,hp_BATCH_SIZE,hp_TAU,loss,episode_reward,training_iteration,avg_env_step_ms,avg_train_step_ms,gpu_time,trial_name,trial_wall_time_s
3.06961856109986e-06,0.9809896429653376,256,0.0014851204937777929,1.4236565828323364,-398.9350000000004,4,174.44117429840844,136.50220070115756,0.0,de66e3b7,
4.385556685995295e-06,0.9800845567357784,256,0.0035238652361624483,1.0266697406768799,-458.5450000000001,8,188.0998553019017,130.23848629859276,0.0,9113bf1f,
3.1450506592822047e-06,0.9804743019016315,256,0.0035210821946346236,1.1135692596435547,-402.16999999999973,16,178.5586139985826,146.1766485007247,0.0,50704e2e,
3.300596039904175e-06,0.9807674449003487,256,0.0014493923246969103,1.0315206050872803,-466.04,8,193.6757037024945,148.2019038008293,0.0,90d56496,
7.139099608480212e-06,0.9835483084802005,256,0.0014261963226472566,1.9199920892715454,-418.0949999999999,2,177.12263960018754,127.4663346008165,0.0,76e4dbd1,
2.3712704955834673e-05,0.9835982911773669,256,0.003832956878146461,1.6446866989135742,-560.5150000000001,2,187.6026962005999,115.66444959980436,0.0,3d16a069,
2.1841506955114142e-05,0.9978740820522036,256,0.0008981819624341608,1.5067821741104126,-432.6499999999999,8,169.42046230111737,118.24613899958786,0.0,0df24c11,
1.1758306282427504e-05,0.982458299535648,256,0.0008778126554861732,1.583055019378662,-448.1749999999992,4,183.78266699798405,130.15947560197674,0.0,dc96b97c,
9.329899221063295e-05,0.9875076699833195,256,0.0008791800902328583,1.8624461889266968,-369.5449999999995,2,161.37944390124176,114.69961029943079,0.0,4dab6f75,
1.2017755290237018e-06,0.9824465120593348,256,0.0012220236276323188,1.8751505613327026,-373.62000000000006,2,190.46915680065285,178.1145567994099,0.0,6d891378,
4.540845713470023e-06,0.9801525994391502,256,0.002926547881558929,0.7509651780128479,-384.7799999999994,20,162.46090509940404,116.51365190104116,0.0,72ef9e4d,
3.478168254120296e-06,0.9977783186990057,256,0.0029424072876407105,1.5259908437728882,-388.40000000000146,4,163.22791089920793,115.85677529964596,0.0,fb888bb3,
1.9741643446112824e-05,0.980535663365303,256,0.00291685730407682,1.9522027969360352,-461.07999999999987,2,184.77702509902883,134.72995449765585,0.0,5543caab,
2.066090324741519e-05,0.9842394365032053,256,0.002877471296823939,1.1114004850387573,-461.28500000000065,8,181.46148909814656,137.46381160034798,0.0,3456c979,
8.554435011470206e-06,0.9817463340240975,256,0.002099195572260661,1.147350549697876,-531.1050000000009,16,188.7617175015621,124.10760009847581,0.0,a2d23518,
1.4904576966844938e-05,0.9816973373146742,256,0.004474043062660549,0.8576386570930481,-403.3449999999998,20,165.6262861980358,113.2282262982335,0.0,13460c0a,
1.3992761072149e-05,0.9953489638703534,256,0.0012354129808093838,1.6275136470794678,-522.3800000000002,8,189.1400294994237,116.47496770008001,0.0,792956ec,
8.170697023223297e-06,0.9841043329535357,256,0.0015558684434228817,1.2340714931488037,-399.9650000000001,8,164.65327910194173,116.85546319920104,0.0,b74b7e91,
1.9364405525457056e-06,0.981653909942593,256,0.002083175341516091,1.9430711269378662,-492.5800000000003,2,177.01835689728614,115.86673979996704,0.0,e15e9aa8,
1.5470566801056713e-06,0.9840838114729514,256,0.001239711534397365,1.8697643280029297,-421.314999999999,2,173.5734066987643,124.81251419894397,0.0,8b6b3eb9,
8.162301246271766e-06,0.9814848796819328,256,0.0033216970694483687,1.070102572441101,-377.24999999999983,20,162.54608950193506,124.81144310161471,0.0,e8494e4f,
1.4942131549704747e-05,0.9830026330225093,256,0.0027969052433345337,1.8001112937927246,-419.09999999999945,2,171.26618880277965,125.87647109874526,0.0,4e302eb4,
8.17781103873921e-06,0.9830398167875607,256,0.004417138179565194,1.043623447418213,-437.5300000000002,8,170.8861695987871,117.79716460069176,0.0,10f9f1f2,
4.113764117743078e-06,0.98001461141367,256,0.0009945758832184855,1.144242525100708,-399.2350000000003,20,160.17894599901047,118.14752770226914,0.0,35538639,
3.8693050769385444e-06,0.9814504845216446,128,0.004408887139278676,0.9713401198387146,-460.2999999999998,16,173.4579958987888,113.56946159980725,0.0,01acb401,
4.133778117190902e-06,0.9814847041405045,128,0.004582101173426567,1.6422419548034668,-440.3050000000003,2,176.2582237974275,121.7451047002105,0.0,52c70cf1,
6.24740553435047e-06,0.9800433660389705,256,0.0022159753894078218,1.6119122505187988,-486.5749999999998,2,179.57457729999442,117.0321376984939,0.0,83c503e7,
6.431262568484282e-05,0.9821266670481568,256,0.002541694429689546,1.2973575592041016,-421.3150000000004,4,165.17859809834044,116.33399860025384,0.0,2dd82cb6,
1.0449097345717161e-05,0.9820663408361413,256,0.0025270716519603855,1.7306692600250244,-411.99000000000086,2,169.0405723011354,112.13505189702846,0.0,ecec68ca,
1.0764593333425512e-05,0.9924976213867299,256,0.0010806931592198684,1.657145619392395,-393.4449999999997,8,171.23076569952536,126.82947669760325,0.0,6011065e,
3.5774836067688083e-06,0.9811483763355702,256,0.004066926222330427,1.805312156677246,-501.6899999999995,2,183.60365200124215,125.88014860055411,0.0,7765fcd1,
3.848293392388969e-06,0.9810652255800497,256,0.00322750507386581,1.3856693506240845,-447.12000000000006,4,171.17847779998556,112.38933809881564,0.0,2c45e7e2,
2.019578988543518e-06,0.9912611594634293,256,0.0031802961737025653,1.6346206665039062,-428.4100000000002,2,168.02314459939953,117.02589010121301,0.0,28b9f5f7,
2.5301270183669077e-06,0.982682564207719,256,0.0027350681151691544,1.7735459804534912,-556.7149999999992,2,187.0964230997488,111.29216030112002,0.0,6843185b,
4.00857309720286e-06,0.9827316400291299,256,0.0010036858237614142,0.8677055835723877,-360.6000000000008,20,167.3822366996901,123.23810249834787,0.0,bc6c0755,
3.971340119214993e-06,0.9932450069105057,256,0.0009890409661190652,1.7939777374267578,-438.2299999999989,2,172.1986499017803,111.00753530021757,0.0,1329bd18,
1.6811493071337122e-05,0.9927036845525341,256,0.0013709516534562963,1.7843432426452637,-476.4300000000002,2,177.26373390154913,110.82072759780567,0.0,78b6525d,
1.7709944966590308e-05,0.9836777067601478,128,0.004937398789982707,1.6062240600585938,-432.6850000000004,2,172.97725690098014,112.93850610114168,0.0,22d1cc44,
1.1149701714480557e-05,0.9834224508466287,128,0.0010831721314482968,1.6451764106750488,-457.27500000000015,4,170.372459000675,113.35822639800608,0.0,97b1105f,
1.1685664929099737e-05,0.9834044476351784,128,0.0010800725249744591,2.0593671798706055,-413.3349999999991,4,170.0936195992399,111.478457100573,0.0,d1e598c7,
1.0545754800872797e-05,0.9804907816338319,256,0.0010878097237568408,1.1905181407928467,-427.8850000000001,8,171.41194170038216,115.53784179908689,0.0,d49276ae,
3.80072887134776e-05,0.9804957345652273,256,0.0026453195837520915,1.8430854082107544,-442.2450000000004,2,168.73210049932823,120.03112839825917,0.0,5bbdb5b3,
4.445137067318241e-05,0.9805532707552123,256,0.003012393724005746,1.8321397304534912,-395.92,2,162.6246210000245,113.09293820045423,0.0,52a807cf,
3.812971413091639e-05,0.9805813043394086,256,0.0033834421549313086,1.5873552560806274,-515.8249999999999,2,174.40361410041805,112.3115829002345,0.0,1890228d,
6.9548790309554714e-06,0.9806116638539379,256,0.003035180741913026,0.9447975158691406,-367.0349999999986,16,160.07433019962627,113.88056709861849,0.0,d12d478c,
4.6675674289066785e-05,0.9806991730693898,256,0.0011502919259605243,1.051109790802002,-387.9800000000004,8,158.22604649758432,111.77307360048871,0.0,2ad571b1,
4.9060046685330485e-06,0.9860456109652632,256,0.00389281565733789,0.9841954708099365,-386.8999999999999,16,156.67383950192016,116.47121400036849,0.0,8c1fceb0,
5.780383848331829e-06,0.9800856361006212,256,0.0011679027715315335,1.3317749500274658,-456.79499999999996,4,175.23408180009574,122.94895059871487,0.0,460a285e,
4.523846429841812e-06,0.9800396132013692,256,0.0007158624195649535,1.6977348327636719,-345.60999999999973,2,157.38214849692304,115.04516029823571,0.0,3063fd07,
9.300326931027393e-06,0.989996653967659,256,0.0011743754669916978,1.6073499917984009,-442.8849999999995,2,166.90225110121537,114.44343359943014,0.0,ec90403d,
1.2812946832059226e-05,0.9820828489089017,128,0.0038953026861037483,1.3300639390945435,-386.00000000000017,4,163.34396790154278,114.8253906002501,0.0,c795c4b1,
5.698201475129652e-06,0.9827427625828893,128,0.004283411443174844,1.3068158626556396,-494.5999999999998,8,183.16254989802837,117.13298300234601,0.0,d2f57c93,
