episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
236,eval,-338.8350000000004,1000,30.045,2.559,733.209,73.417,393,33,50,1,236000
237,eval,-321.1149999999998,1000,28.078,2.689,650.9725,82.372,398,30,50,1,237000
238,eval,-362.8100000000003,1000,31.37,3.274,812.7705,89.0705,377,28,50,1,238000
239,eval,-293.4649999999997,1000,25.847,2.333,588.0715,59.179,396,29,50,1,239000
240,eval,-334.91499999999934,1000,29.755,2.491,709.666,64.256,395,33,50,1,240000
241,eval,-303.8299999999998,1000,26.186,2.798,618.775,79.325,399,30,50,1,241000
242,eval,-332.13000000000056,1000,28.707,3.004,651.9715,93.302,398,31,50,1,242000
243,eval,-349.384999999999,1000,31.037,2.601,894.2235,66.487,391,30,45,1,243000
244,eval,-343.60499999999985,1000,30.477,2.589,733.301,66.7275,396,31,50,1,244000
245,eval,-305.4849999999995,1000,26.734,2.543,620.7765,65.498,391,29,50,1,245000
246,eval,-352.97,1000,31.832,2.31,847.499,58.533,399,33,50,1,246000
247,eval,-338.0849999999999,1000,28.845,3.309,740.0755,95.554,384,31,48,1,247000
248,eval,-352.1950000000001,1000,30.922,2.865,815.747,78.63,386,32,48,1,248000
249,eval,-305.02499999999986,1000,26.949,2.369,734.8135,58.7745,391,33,46,1,249000
