global_step,batch_idx,env_label,episode,step_in_episode,reward,cumulative_reward_episode,queue_length,queue_ma50,loss
352,1,16,40,4,0.0,0.0,0,0.0,0.0
353,1,17,41,4,0.0,0.0,0,0.0,0.0
354,1,18,42,4,0.0,0.0,0,0.0,0.0
355,1,19,43,4,0.0,0.0,0,0.0,0.0
356,1,20,44,4,0.0,0.0,0,0.0,0.0
357,1,21,45,4,0.0,0.0,0,0.0,0.0
358,1,22,46,4,0.0,0.0,0,0.0,0.0
359,1,23,47,4,0.0,0.0,0,0.0,0.0
360,1,0,24,5,0.0,0.0,0,0.0,0.0
361,1,1,25,5,0.0,0.0,0,0.0,0.0
362,1,2,26,5,0.0,0.0,0,0.0,0.0
363,1,3,27,5,0.0,0.0,0,0.0,0.0
364,1,4,28,5,0.0,0.0,0,0.0,0.0
365,1,5,29,5,0.0,0.0,0,0.0,0.0
366,1,6,30,5,0.0,0.0,0,0.0,0.0
367,1,7,31,5,0.0,0.0,0,0.0,0.0
368,1,8,32,5,0.0,0.0,0,0.0,0.0
369,1,9,33,5,0.0,0.0,0,0.0,0.0
370,1,10,34,5,0.0,0.0,0,0.0,0.0
371,1,11,35,5,0.0,0.0,0,0.0,0.0
372,1,12,36,5,0.0,0.0,0,0.0,0.0
373,1,13,37,5,0.0,0.0,0,0.0,0.0
374,1,14,38,5,0.0,0.0,0,0.0,0.0
375,1,15,39,5,0.0,0.0,0,0.0,0.0
376,1,16,40,5,0.0,0.0,0,0.0,0.0
377,1,17,41,5,0.0,0.0,0,0.0,0.0
378,1,18,42,5,0.0,0.0,0,0.0,0.0
379,1,19,43,5,0.0,0.0,0,0.0,0.0
380,1,20,44,5,0.0,0.0,0,0.0,0.0
381,1,21,45,5,0.0,0.0,0,0.0,0.0
382,1,22,46,5,0.0,0.0,0,0.0,0.0
383,1,23,47,5,0.0,0.0,0,0.0,0.0
384,1,0,24,6,0.0,0.0,0,0.0,0.0
385,1,1,25,6,0.0,0.0,0,0.0,0.0
386,1,2,26,6,0.0,0.0,0,0.0,0.0
387,1,3,27,6,0.0,0.0,0,0.0,0.0
388,1,4,28,6,0.0,0.0,0,0.0,0.0
389,1,5,29,6,0.0,0.0,0,0.0,0.0
390,1,6,30,6,0.0,0.0,0,0.0,0.0
391,1,7,31,6,0.0,0.0,0,0.0,0.0
392,1,8,32,6,0.0,0.0,0,0.0,0.0
393,1,9,33,6,0.0,0.0,0,0.0,0.0
394,1,10,34,6,0.0,0.0,0,0.0,0.0
395,1,11,35,6,0.0,0.0,0,0.0,0.0
396,1,12,36,6,0.0,0.0,0,0.0,0.0
397,1,13,37,6,0.0,0.0,0,0.0,0.0
398,1,14,38,6,0.0,0.0,0,0.0,0.0
399,1,15,39,6,0.0,0.0,0,0.0,0.0
400,1,16,40,6,0.0,0.0,0,0.0,0.0
401,1,17,41,6,0.0,0.0,0,0.0,0.0
402,1,18,42,6,0.0,0.0,0,0.0,0.0
403,1,19,43,6,0.0,0.0,0,0.0,0.0
404,1,20,44,6,0.0,0.0,0,0.0,0.0
405,1,21,45,6,0.0,0.0,0,0.0,0.0
406,1,22,46,6,0.0,0.0,0,0.0,0.0
407,1,23,47,6,0.0,0.0,0,0.0,0.0
408,1,0,24,7,0.0,0.0,0,0.0,0.0
409,1,1,25,7,0.0,0.0,0,0.0,0.0
410,1,2,26,7,0.0,0.0,0,0.0,0.0
411,1,3,27,7,0.0,0.0,0,0.0,0.0
412,1,4,28,7,0.0,0.0,0,0.0,0.0
413,1,5,29,7,0.0,0.0,0,0.0,0.0
414,1,6,30,7,0.0,0.0,0,0.0,0.0
415,1,7,31,7,0.0,0.0,0,0.0,0.0
416,1,8,32,7,0.0,0.0,0,0.0,0.0
417,1,9,33,7,0.0,0.0,0,0.0,0.0
418,1,10,34,7,0.0,0.0,0,0.0,0.0
419,1,11,35,7,0.0,0.0,0,0.0,0.0
420,1,12,36,7,0.0,0.0,0,0.0,0.0
421,1,13,37,7,0.0,0.0,0,0.0,0.0
422,1,14,38,7,0.0,0.0,0,0.0,0.0
423,1,15,39,7,0.0,0.0,0,0.0,0.0
424,1,16,40,7,0.0,0.0,0,0.0,0.0
425,1,17,41,7,0.0,0.0,0,0.0,0.0
426,1,18,42,7,0.0,0.0,0,0.0,0.0
427,1,19,43,7,0.0,0.0,0,0.0,0.0
428,1,20,44,7,0.0,0.0,0,0.0,0.0
429,1,21,45,7,0.0,0.0,0,0.0,0.0
430,1,22,46,7,0.0,0.0,0,0.0,0.0
431,1,23,47,7,0.0,0.0,0,0.0,0.0
432,1,0,24,8,0.0,0.0,0,0.0,0.0
433,1,1,25,8,0.0,0.0,0,0.0,0.0
434,1,2,26,8,0.0,0.0,0,0.0,0.0
435,1,3,27,8,0.0,0.0,0,0.0,0.0
436,1,4,28,8,0.0,0.0,0,0.0,0.0
437,1,5,29,8,0.0,0.0,0,0.0,0.0
438,1,6,30,8,0.0,0.0,0,0.0,0.0
439,1,7,31,8,0.0,0.0,0,0.0,0.0
440,1,8,32,8,0.0,0.0,0,0.0,0.0
441,1,9,33,8,0.0,0.0,0,0.0,0.0
442,1,10,34,8,0.0,0.0,0,0.0,0.0
443,1,11,35,8,0.0,0.0,0,0.0,0.0
444,1,12,36,8,0.0,0.0,0,0.0,0.0
445,1,13,37,8,0.0,0.0,0,0.0,0.0
446,1,14,38,8,0.0,0.0,0,0.0,0.0
447,1,15,39,8,0.0,0.0,0,0.0,0.0
448,1,16,40,8,0.0,0.0,0,0.0,0.0
449,1,17,41,8,0.0,0.0,0,0.0,0.0
450,1,18,42,8,0.0,0.0,0,0.0,0.0
451,1,19,43,8,0.0,0.0,0,0.0,0.0
452,1,20,44,8,0.0,0.0,0,0.0,0.0
453,1,21,45,8,0.0,0.0,0,0.0,0.0
454,1,22,46,8,0.0,0.0,0,0.0,0.0
455,1,23,47,8,0.0,0.0,0,0.0,0.0
456,1,0,24,9,0.0,0.0,0,0.0,0.0
457,1,1,25,9,0.0,0.0,0,0.0,0.0
458,1,2,26,9,0.0,0.0,0,0.0,0.0
459,1,3,27,9,0.0,0.0,0,0.0,0.0
460,1,4,28,9,0.0,0.0,0,0.0,0.0
461,1,5,29,9,0.0,0.0,0,0.0,0.0
462,1,6,30,9,0.0,0.0,0,0.0,0.0
463,1,7,31,9,0.0,0.0,0,0.0,0.0
464,1,8,32,9,0.0,0.0,0,0.0,0.0
465,1,9,33,9,0.0,0.0,0,0.0,0.0
466,1,10,34,9,0.0,0.0,0,0.0,0.0
467,1,11,35,9,0.0,0.0,0,0.0,0.0
468,1,12,36,9,0.0,0.0,0,0.0,0.0
469,1,13,37,9,0.0,0.0,0,0.0,0.0
470,1,14,38,9,0.0,0.0,0,0.0,0.0
471,1,15,39,9,0.0,0.0,0,0.0,0.0
472,1,16,40,9,0.0,0.0,0,0.0,0.0
473,1,17,41,9,0.0,0.0,0,0.0,0.0
474,1,18,42,9,0.0,0.0,0,0.0,0.0
475,1,19,43,9,0.0,0.0,0,0.0,0.0
476,1,20,44,9,0.0,0.0,0,0.0,0.0
477,1,21,45,9,0.0,0.0,0,0.0,0.0
478,1,22,46,9,0.0,0.0,0,0.0,0.0
479,1,23,47,9,0.0,0.0,0,0.0,0.0
480,2,0,48,0,-0.0,0.0,0,0.0,0.0
481,2,1,49,0,-0.0,0.0,0,0.0,0.0
482,2,2,50,0,-0.0,0.0,0,0.0,0.0
483,2,3,51,0,-0.0,0.0,0,0.0,0.0
484,2,4,52,0,-0.0,0.0,0,0.0,0.0
485,2,5,53,0,-0.0,0.0,0,0.0,0.0
